model,check,correct,group_A_mean,group_B_mean
Claude-Opus-4.6,E > I on Extraversion,True,4.2927,2.4791624999999997
Claude-Opus-4.6,J > P on Conscientiousness,True,4.5375125,3.09375
Claude-Opus-4.6,F > T on Agreeableness,True,4.388525,3.21355
Claude-Opus-4.6,N > S on Openness,True,4.1135375,2.8479125
Claude-Sonnet-4.6,E > I on Extraversion,True,4.21355,2.2250125
Claude-Sonnet-4.6,J > P on Conscientiousness,True,4.598962500000001,3.145825
Claude-Sonnet-4.6,F > T on Agreeableness,True,4.533325,3.516675
Claude-Sonnet-4.6,N > S on Openness,True,4.160425,2.8604000000000003
DeepSeek-V3.2,E > I on Extraversion,True,4.3968875,2.627075
DeepSeek-V3.2,J > P on Conscientiousness,True,4.596875000000001,3.371875
DeepSeek-V3.2,F > T on Agreeableness,True,4.2927125,3.18855
DeepSeek-V3.2,N > S on Openness,True,4.07605,2.9343874999999997
DeepSeek-V4-Flash,E > I on Extraversion,True,4.4729125,2.6052125
DeepSeek-V4-Flash,J > P on Conscientiousness,True,4.7197875,3.151025
DeepSeek-V4-Flash,F > T on Agreeableness,True,4.295825000000001,3.066675
DeepSeek-V4-Flash,N > S on Openness,True,4.2781125,2.9739625
DeepSeek-V4-Pro,E > I on Extraversion,True,4.1760625000000005,2.4552
DeepSeek-V4-Pro,J > P on Conscientiousness,True,4.629175,3.35105
DeepSeek-V4-Pro,F > T on Agreeableness,True,4.3791625,3.3687625
DeepSeek-V4-Pro,N > S on Openness,True,4.064575,2.9427000000000003
GLM-4.6V,E > I on Extraversion,True,4.341675,2.2364625
GLM-4.6V,J > P on Conscientiousness,True,4.602075000000001,3.2177
GLM-4.6V,F > T on Agreeableness,True,4.67395,3.2114625
GLM-4.6V,N > S on Openness,True,4.079175,2.6406375
GPT-5.5,E > I on Extraversion,True,4.429175,2.53125
GPT-5.5,J > P on Conscientiousness,True,4.7135375,3.3135375
GPT-5.5,F > T on Agreeableness,True,4.492725,3.4552249999999995
GPT-5.5,N > S on Openness,True,4.2093625,2.9979125
GPT_5.2,E > I on Extraversion,True,4.4396,2.603125
GPT_5.2,J > P on Conscientiousness,True,4.741675,3.4031124999999998
GPT_5.2,F > T on Agreeableness,True,4.546875,3.7666749999999998
GPT_5.2,N > S on Openness,True,4.164575,2.95105
Gemini-3-Flash-Preview,E > I on Extraversion,True,4.4593875,2.1187625
Gemini-3-Flash-Preview,J > P on Conscientiousness,True,4.764575,2.9177125
Gemini-3-Flash-Preview,F > T on Agreeableness,True,4.59585,3.0437624999999997
Gemini-3-Flash-Preview,N > S on Openness,True,4.2177,2.7781375
Gemini-3.1-Flash-Lite,E > I on Extraversion,True,4.329162500000001,2.3208375
Gemini-3.1-Flash-Lite,J > P on Conscientiousness,True,4.71875,3.0874875
Gemini-3.1-Flash-Lite,F > T on Agreeableness,True,4.5718499999999995,3.2562625
Gemini-3.1-Flash-Lite,N > S on Openness,True,4.148949999999999,2.8073
Gemini-3.1-Pro-Preview,E > I on Extraversion,True,4.43125,1.9416625
Gemini-3.1-Pro-Preview,J > P on Conscientiousness,True,4.8458375,2.773975
Gemini-3.1-Pro-Preview,F > T on Agreeableness,True,4.616675,3.0198125
Gemini-3.1-Pro-Preview,N > S on Openness,True,4.17395,2.5156375
Gemini_3-Pro-Preview,E > I on Extraversion,True,4.418737500000001,1.946875
Gemini_3-Pro-Preview,J > P on Conscientiousness,True,4.853137500000001,2.7760499999999997
Gemini_3-Pro-Preview,F > T on Agreeableness,True,4.6187625,3.0041875
Gemini_3-Pro-Preview,N > S on Openness,True,4.175000000000001,2.5176875
Kimi-K2.5,E > I on Extraversion,True,4.246875,2.0541625000000003
Kimi-K2.5,J > P on Conscientiousness,True,4.5354125,2.890625
Kimi-K2.5,F > T on Agreeableness,True,4.5562625,3.1468625
Kimi-K2.5,N > S on Openness,True,4.0823125000000005,2.7270875
Kimi-K2.6,E > I on Extraversion,True,4.2896,1.9499875000000002
Kimi-K2.6,J > P on Conscientiousness,True,4.615625,2.8291625
Kimi-K2.6,F > T on Agreeableness,True,4.60625,3.1020875
Kimi-K2.6,N > S on Openness,True,4.1302,2.6322875000000003
MiniMax-M2.7,E > I on Extraversion,True,4.088525,2.2583375
MiniMax-M2.7,J > P on Conscientiousness,True,4.4125000000000005,3.120825
MiniMax-M2.7,F > T on Agreeableness,True,4.4437375,3.5698
MiniMax-M2.7,N > S on Openness,True,3.9375125,2.796875
Qwen3-235B-A22B,E > I on Extraversion,True,4.415625,2.3791625
Qwen3-235B-A22B,J > P on Conscientiousness,True,4.797924999999999,3.4739625
Qwen3-235B-A22B,F > T on Agreeableness,True,4.6406125,3.5947875
Qwen3-235B-A22B,N > S on Openness,True,4.242725,2.8323
