model,check,correct,group_A_mean,group_B_mean
Claude-Opus-4.6,E > I on Extraversion,True,4.2812624999999995,2.46875
Claude-Opus-4.6,J > P on Conscientiousness,True,4.5260625,3.0781124999999996
Claude-Opus-4.6,F > T on Agreeableness,True,4.3697875,3.1927125
Claude-Opus-4.6,N > S on Openness,True,4.1093625000000005,2.8593875
Claude-Sonnet-4.6,E > I on Extraversion,True,4.223974999999999,2.229175
Claude-Sonnet-4.6,J > P on Conscientiousness,True,4.59375,3.1302250000000003
Claude-Sonnet-4.6,F > T on Agreeableness,True,4.536474999999999,3.5104249999999997
Claude-Sonnet-4.6,N > S on Openness,True,4.15105,2.859375
DeepSeek-V3.2,E > I on Extraversion,True,4.416675,2.6093624999999996
DeepSeek-V3.2,J > P on Conscientiousness,True,4.59375,3.3854125
DeepSeek-V3.2,F > T on Agreeableness,True,4.2708375,3.15625
DeepSeek-V3.2,N > S on Openness,True,4.0677,2.9583375
DeepSeek-V4-Flash,E > I on Extraversion,True,4.4791625,2.6197875
DeepSeek-V4-Flash,J > P on Conscientiousness,True,4.7291625,3.1666749999999997
DeepSeek-V4-Flash,F > T on Agreeableness,True,4.3072875,3.0729125
DeepSeek-V4-Flash,N > S on Openness,True,4.2447875,2.96875
DeepSeek-V4-Pro,E > I on Extraversion,True,4.1770875,2.4427000000000003
DeepSeek-V4-Pro,J > P on Conscientiousness,True,4.6249875000000005,3.3541625
DeepSeek-V4-Pro,F > T on Agreeableness,True,4.3333375,3.34375
DeepSeek-V4-Pro,N > S on Openness,True,4.052075,2.9322875
GLM-4.6V,E > I on Extraversion,True,4.322900000000001,2.2239500000000003
GLM-4.6V,J > P on Conscientiousness,True,4.6302,3.2708125
GLM-4.6V,F > T on Agreeableness,True,4.66145,3.1666625
GLM-4.6V,N > S on Openness,True,4.1198,2.6406375
GPT-5.5,E > I on Extraversion,True,4.421875,2.5468875
GPT-5.5,J > P on Conscientiousness,True,4.703125,3.3125125
GPT-5.5,F > T on Agreeableness,True,4.4948,3.4427000000000003
GPT-5.5,N > S on Openness,True,4.203125,3.0
GPT_5.2,E > I on Extraversion,True,4.432275000000001,2.6197999999999997
GPT_5.2,J > P on Conscientiousness,True,4.7552,3.3854125
GPT_5.2,F > T on Agreeableness,True,4.5573,3.7499875
GPT_5.2,N > S on Openness,True,4.145849999999999,2.9479125
Gemini-3-Flash-Preview,E > I on Extraversion,True,4.4635375,2.1302
Gemini-3-Flash-Preview,J > P on Conscientiousness,True,4.765625,2.916675
Gemini-3-Flash-Preview,F > T on Agreeableness,True,4.5729125,3.0416499999999997
Gemini-3-Flash-Preview,N > S on Openness,True,4.2448,2.7656375
Gemini-3.1-Flash-Lite,E > I on Extraversion,True,4.333325,2.3124875
Gemini-3.1-Flash-Lite,J > P on Conscientiousness,True,4.718774999999999,3.0885499999999997
Gemini-3.1-Flash-Lite,F > T on Agreeableness,True,4.572925,3.265625
Gemini-3.1-Flash-Lite,N > S on Openness,True,4.15625,2.8073
Gemini-3.1-Pro-Preview,E > I on Extraversion,True,4.416662500000001,1.9531375000000002
Gemini-3.1-Pro-Preview,J > P on Conscientiousness,True,4.84895,2.7656375000000004
Gemini-3.1-Pro-Preview,F > T on Agreeableness,True,4.6198,2.9947875
Gemini-3.1-Pro-Preview,N > S on Openness,True,4.1249875000000005,2.5208375
Gemini_3-Pro-Preview,E > I on Extraversion,True,4.41145,1.9374875
Gemini_3-Pro-Preview,J > P on Conscientiousness,True,4.854175,2.7760375
Gemini_3-Pro-Preview,F > T on Agreeableness,True,4.6198,3.0052
Gemini_3-Pro-Preview,N > S on Openness,True,4.135400000000001,2.5052125
Kimi-K2.5,E > I on Extraversion,True,4.2343625,2.046875
Kimi-K2.5,J > P on Conscientiousness,True,4.5364625,2.84895
Kimi-K2.5,F > T on Agreeableness,True,4.546875,3.1458375
Kimi-K2.5,N > S on Openness,True,4.0625,2.7239625
Kimi-K2.6,E > I on Extraversion,True,4.2812375000000005,1.9427125
Kimi-K2.6,J > P on Conscientiousness,True,4.609375,2.8333375
Kimi-K2.6,F > T on Agreeableness,True,4.6197875,3.08855
Kimi-K2.6,N > S on Openness,True,4.1302125,2.640625
MiniMax-M2.7,E > I on Extraversion,True,4.088525000000001,2.239575
MiniMax-M2.7,J > P on Conscientiousness,True,4.427075,3.109375
MiniMax-M2.7,F > T on Agreeableness,True,4.46875,3.5677125
MiniMax-M2.7,N > S on Openness,True,3.916675,2.8229375
Qwen3-235B-A22B,E > I on Extraversion,True,4.41145,2.4010249999999997
Qwen3-235B-A22B,J > P on Conscientiousness,True,4.8073,3.4895875000000003
Qwen3-235B-A22B,F > T on Agreeableness,True,4.6354125,3.609375
Qwen3-235B-A22B,N > S on Openness,True,4.2448,2.8229125
Qwen3.5-122B-A10B,E > I on Extraversion,True,4.4375124999999995,2.296875
Qwen3.5-122B-A10B,J > P on Conscientiousness,True,4.8124875000000005,3.203125
Qwen3.5-122B-A10B,F > T on Agreeableness,True,4.6302125,3.53125
Qwen3.5-122B-A10B,N > S on Openness,True,4.2239625,2.83855
Qwen3.5-397B-A17B,E > I on Extraversion,True,4.3541625,2.1249874999999996
Qwen3.5-397B-A17B,J > P on Conscientiousness,True,4.7604125,3.0833375
Qwen3.5-397B-A17B,F > T on Agreeableness,True,4.614599999999999,3.4583375000000003
Qwen3.5-397B-A17B,N > S on Openness,True,4.125,2.7135375
